bug_id,mutant_type,operator,config_str,IQ,EQ,EQ_reliable,S_m,weighted_C
deepfd006,MM_deepfd006_add_noise_mutated0_MP_100,add_noise,100,0.4393745244263508,0.5684830633284241,False,0.0965,0.5136972612879349
deepfd006,MM_deepfd006_add_noise_mutated0_MP_50.0,add_noise,50.0,0.499829455316373,0.3225331369661266,False,0.05474999999999999,0.4712198303979127
deepfd006,MM_deepfd006_add_noise_mutated0_MP_75.0,add_noise,75.0,0.3800718710021321,0.6808199121522693,False,0.11725000000000002,0.5694456289978679
deepfd006,MM_deepfd006_add_noise_mutated0_MP_87.5,add_noise,87.5,0.40025327989601384,0.8282387190684134,False,0.14425000000000002,0.5322777915325576
deepfd006,MM_deepfd006_add_noise_mutated0_MP_90.62,add_noise,90.62,0.4045750400413329,0.8064516129032258,False,0.13824999999999998,0.5305192456729528
deepfd006,MM_deepfd006_add_noise_mutated0_MP_93.75,add_noise,93.75,0.3775790873015872,0.9430555555555556,False,0.18,0.5395376984126986
deepfd006,MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_1,add_weights_regularisation,l1_1,0.4085197807371536,0.7741935483870968,False,0.13275,0.5289480764057035
deepfd006,MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_4,add_weights_regularisation,l1_4,0.37666630239520943,0.7302052785923753,False,0.12524999999999997,0.5694011976047906
deepfd006,MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_7,add_weights_regularisation,l1_7,0.38405402458324533,0.9044943820224721,False,0.16925,0.5377020468453261
deepfd006,MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_l2_1,add_weights_regularisation,l1_l2_1,0.4393745244263508,0.5684830633284241,False,0.0965,0.5136972612879349
deepfd006,MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_l2_4,add_weights_regularisation,l1_l2_4,0.3775790873015872,0.9430555555555556,False,0.18,0.5395376984126986
deepfd006,MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_l2_7,add_weights_regularisation,l1_l2_7,0.3775790873015872,0.9430555555555556,False,0.18,0.5395376984126986
deepfd006,MM_deepfd006_add_weights_regularisation_mutated0_MP_l2_1,add_weights_regularisation,l2_1,0.379688896103896,0.7375366568914955,False,0.12649999999999997,0.5653246753246755
deepfd006,MM_deepfd006_add_weights_regularisation_mutated0_MP_l2_4,add_weights_regularisation,l2_4,0.4393745244263508,0.5684830633284241,False,0.0965,0.5136972612879349
deepfd006,MM_deepfd006_add_weights_regularisation_mutated0_MP_l2_7,add_weights_regularisation,l2_7,0.3775790873015872,0.9430555555555556,False,0.18,0.5395376984126986
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_elu_2,change_activation_function,elu_2,0.4177282682638272,0.7088235294117647,False,0.12075,0.5249038745933157
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_elu_5,change_activation_function,elu_5,0.3946438023952095,0.491899852724595,False,0.08350000000000002,0.5694011976047905
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_exponential_8,change_activation_function,exponential_8,0.377725695410292,0.9416666666666669,False,0.17975000000000002,0.539499304589708
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_hard_sigmoid_2,change_activation_function,hard_sigmoid_2,0.38046221078633174,0.9175977653631286,False,0.17350000000000002,0.5396706463565254
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_hard_sigmoid_5,change_activation_function,hard_sigmoid_5,0.41758783791777565,0.7038123167155425,False,0.12075,0.5250635906536529
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_hard_sigmoid_8,change_activation_function,hard_sigmoid_8,0.3809434048985446,0.9191073919107392,False,0.17425000000000002,0.5386698093871697
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_linear_2,change_activation_function,linear_2,0.4045750400413329,0.8064516129032258,False,0.13824999999999998,0.5305192456729528
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_linear_5,change_activation_function,linear_5,0.4045750400413329,0.8064516129032258,False,0.13824999999999998,0.5305192456729528
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_relu_2,change_activation_function,relu_2,0.390035296221775,0.8721590909090907,False,0.15975,0.5358104180639393
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_relu_5,change_activation_function,relu_5,0.3586888023952095,0.8708333333333333,False,0.16700000000000004,0.5694011976047905
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_selu_2,change_activation_function,selu_2,0.4393745244263508,0.5684830633284241,False,0.0965,0.5136972612879349
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_selu_5,change_activation_function,selu_5,0.499829455316373,0.3225331369661266,False,0.05474999999999999,0.4712198303979127
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_sigmoid_2,change_activation_function,sigmoid_2,0.3950133834586465,0.8464849354375895,False,0.152,0.5341823308270678
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_sigmoid_5,change_activation_function,sigmoid_5,0.3586888023952095,0.8708333333333333,False,0.16700000000000004,0.5694011976047905
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_sigmoid_8,change_activation_function,sigmoid_8,0.3775790873015872,0.9430555555555556,False,0.18,0.5395376984126986
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_softmax_2,change_activation_function,softmax_2,0.4045750400413329,0.8064516129032258,False,0.13824999999999998,0.5305192456729528
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_softmax_5,change_activation_function,softmax_5,0.3775790873015872,0.9430555555555556,False,0.18,0.5395376984126986
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_softmax_8,change_activation_function,softmax_8,0.3946438023952095,0.491899852724595,False,0.08350000000000002,0.5694011976047905
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_softplus_2,change_activation_function,softplus_2,0.37666630239520943,0.7302052785923753,False,0.12524999999999997,0.5694011976047906
deepfd006,MM_deepfd006_change_activation_function_mutated0_MP_softplus_5,change_activation_function,softplus_5,0.4393745244263508,0.5684830633284241,False,0.0965,0.5136972612879349
